,Live Spectrum 10-11-2023 10:13:32 - Spikes removed,Live Spectrum 10-11-2023 10:13:34 - Spikes removed,Live Spectrum 10-11-2023 10:13:35 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,
441.1824,17.457425,17.957319,17.673238,17.820994,17.715919,17.053901,
441.4640,17.324237,18.071694,17.827489,17.873728,17.703761,17.264989,
441.7455,17.152581,17.34375,17.65081,17.59375,17.84375,17.125,
442.0271,17.157655,17.400896,17.330099,17.605996,17.807013,17.129082,
442.3086,17.401945,17.78125,17.004305,17.691991,17.50412,17.210139,
442.5902,17.5625,17.683337,16.87802,17.669794,17.131772,17.545937,
442.8718,17.551907,17.177436,17.115466,17.369174,16.978814,17.593221,
443.1533,17.431678,17.406508,17.443322,17.250129,16.909161,17.363484,
443.4349,17.198038,18.053961,17.73174,17.409519,17.147711,17.000817,
443.7164,17.480573,18.386823,17.617397,16.912726,17.461147,16.978609,
443.9980,17.392529,18.3125,17.407004,17.019828,17.333082,17.436746,
444.2796,17.300299,18.232839,17.173016,17.334226,17.362799,17.670734,
444.5611,17.179107,17.953512,17.155476,17.505299,17.256846,17.688274,
444.8427,17.226023,17.882273,17.234015,17.8125,17.351023,17.52981,
445.1242,17.189697,17.703796,17.195862,17.854309,17.41504,17.293579,
445.4058,17.307432,17.414977,17.175113,17.994932,17.824887,17.164977,
445.6874,17.347733,17.328432,17.280636,18.15339,17.919322,17.242034,
445.9689,17.33793,17.03416,17.736926,18.31832,17.837213,17.393893,
446.2505,17.507952,16.860944,17.572301,18.030691,17.759801,17.398298,
446.5321,17.512546,16.553946,17.654653,17.626597,17.832003,17.3125,
446.8136,17.21779,16.81562,17.81274,17.43702,17.87452,17.15505,
447.0952,16.957911,17.874295,17.712416,17.345017,17.695805,16.811233,
447.3767,17.038096,18.388459,17.361541,17.383895,17.370204,16.761177,
447.6583,17.368404,18.330608,17.40788,17.366774,16.876655,16.827297,
447.9399,17.423677,17.987167,17.328936,17.465463,16.920073,17.072046,
448.2214,17.337139,17.690806,17.038461,17.538161,17.237831,17.514122,
