,Live Spectrum 10-11-2023 10:22:00 - Spikes removed,Live Spectrum 10-11-2023 10:22:01 - Spikes removed,Live Spectrum 10-11-2023 10:22:03 - Spikes removed,Live Spectrum 10-11-2023 10:22:07 - Spikes removed,Live Spectrum 10-11-2023 10:22:10 - Spikes removed,Live Spectrum 10-11-2023 10:22:12 - Spikes removed,Live Spectrum 10-11-2023 10:22:14 - Spikes removed,Live Spectrum 10-11-2023 10:22:16 - Spikes removed,Live Spectrum 10-11-2023 10:22:18 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
397.8219,16.791332,17.041834,16.770917,16.978329,17.321828,16.968499,16.927921,16.958417,16.937751,
398.1035,16.989662,17.022932,16.75,17.176034,17.559352,16.985385,16.71875,16.948966,16.909398,
398.3851,17.200094,17.0625,16.687029,17.080685,17.248117,16.818091,16.655779,17.019127,17.044315,
398.6666,17.067865,16.966482,16.662334,16.927599,16.724115,16.742367,16.589934,17.121184,17.211117,
398.9482,16.726657,16.799247,16.779669,16.934337,16.664759,16.931175,16.580497,16.993072,17.370256,
399.2297,16.418981,16.654321,16.828447,17.127572,16.956019,17.206019,16.499357,16.780607,17.389017,
399.5113,16.656427,16.664821,17.201874,17.420535,16.906161,17.207322,16.639285,17.159284,16.817948,
399.7929,16.914284,16.840776,17.518155,17.453569,16.622913,17.311613,16.908337,17.300292,16.351784,
400.0744,16.932755,17.002509,17.473495,17.259489,16.685264,17.507254,17.096259,17.098495,16.408759,
400.3560,17.070465,17.103186,17.396814,17.024755,16.679535,17.348162,17.196936,16.981128,16.509436,
400.6375,17.060712,17.103571,17.224996,17.066075,16.946438,17.099996,17.111604,17.087504,16.916975,
400.9191,17.05376,17.11626,17.13374,17.282571,17.02622,16.828659,16.94995,17.22378,17.11626,
401.2007,16.920985,17.148586,17.502373,17.249407,16.882071,16.844343,16.835493,16.96697,16.983485,
401.4822,16.924313,17.180906,17.846907,17.366688,16.819094,17.072251,16.713875,16.924313,16.567655,
401.7638,16.963222,17.213222,17.314651,17.200476,17.12116,17.356495,17.201934,16.860335,16.983184,
402.0453,16.861622,17.111622,17.05359,16.995558,17.133936,17.352686,16.991117,16.924096,17.174096,
402.3269,17.066446,17.010239,16.836391,16.606869,16.930141,17.371587,16.65913,17.188033,17.103989,
402.6085,16.949315,16.884452,16.8125,16.273631,16.732929,17.259452,16.682774,17.247637,17.007089,
402.8900,17.057227,16.815137,16.662842,16.42959,16.838477,17.160205,16.657568,17.25,16.790478,
403.1716,16.8457,16.905414,16.780135,16.530414,16.905693,17.063336,16.408479,17.095143,16.967078,
403.4532,16.845262,17.129535,16.658517,16.685233,17.030494,16.936744,16.409273,17.002267,17.128779,
403.7347,16.90625,17.294649,16.74643,16.602675,17.00714,16.922316,16.53482,17.084825,17.254474,
404.0163,16.897822,17.005619,16.6875,16.752809,17.110954,17.181881,16.621843,16.948737,16.854639,
404.2978,16.827813,17.100784,16.698985,16.773593,16.980235,17.113515,16.978989,17.0625,17.285078,
404.5794,16.9375,17.35563,16.815147,16.684853,17.052815,17.045777,17.5,17.004391,17.259234,
404.8610,16.931649,17.209041,16.994149,16.441486,16.976595,17.060635,17.429784,16.681649,16.962899,
405.1425,16.90625,17.003829,16.934474,16.1875,16.847579,16.774395,17.090724,16.64254,16.985487,
405.4241,16.86698,16.914104,16.836062,16.321019,16.773562,16.726438,16.945188,16.648729,17.148396,
405.7056,16.705761,17.034827,16.90625,16.807229,16.826054,16.665098,16.901544,16.830196,17.071913,
405.9872,16.603587,17.143537,17.02429,17.041087,16.850107,16.766193,16.988423,16.983203,16.78995,
406.2688,16.711563,16.919493,17.227148,17.094961,17.032461,16.991602,16.998789,17.20793,16.566133,
406.5503,16.898598,17.180491,17.089603,17.109054,17.199942,17.09375,16.784112,17.022312,16.820795,
406.8319,16.975818,17.375,17.005704,16.94184,17.362227,17.144841,16.480159,16.75,16.924727,
407.1135,17.058733,17.292551,16.913784,16.798758,17.288784,17.232492,16.447475,16.695034,16.823801,
407.3950,17.034929,17.1875,16.873161,16.78125,17.189339,17.220589,16.558821,16.639705,16.71875,
407.6766,16.843438,17.124844,16.953242,16.765586,17.124922,17.234492,16.625,16.624922,16.765742,
407.9581,16.619043,17.145589,17.049853,16.683529,17.126986,17.264632,16.724707,16.44419,16.945442,
408.2397,16.513683,16.639054,17.251849,16.818232,16.822485,17.144601,16.689534,16.523299,16.676036,
408.5213,16.462979,16.335583,17.245427,17.061302,16.58101,16.895906,16.815875,16.817073,16.337979,
408.8028,16.495848,16.807037,16.981206,17.338942,16.632649,16.606206,16.988199,17.100743,16.429196,
409.0844,16.490483,17.214699,16.915767,17.489133,16.798933,16.56115,16.898084,17.34105,16.683449,
409.3659,16.46875,17.291188,17.086686,17.414751,17.066811,16.849497,16.84375,17.363625,17.05831,
409.6475,16.579932,17.303486,17.178486,17.174872,17.15625,17.035459,16.977168,17.232568,17.1875,
409.9291,16.601844,17.219878,17.349589,16.862194,17.017316,16.969878,17.008094,17.1875,17.071722,
410.2106,16.61782,17.21157,17.33404,16.73311,16.824331,16.744941,16.783371,17.25971,16.886831,
410.4922,16.699938,16.968957,16.937811,16.693771,16.856188,16.912313,16.71875,16.806644,17.16848,
410.7738,16.563447,16.880366,17.076704,16.739268,16.952651,16.994634,16.92582,16.713384,17.224116,
411.0553,16.424116,17.196401,17.232134,16.776783,16.941967,16.946433,17.102667,16.665183,17.191967,
411.3369,16.489284,17.360713,17.333034,16.78125,17.020534,16.992856,16.931253,16.96071,17.076787,
411.6184,16.35716,17.432136,16.715253,16.952658,16.831274,16.85716,16.820546,16.771456,16.862524,
411.9000,16.491015,17.378594,16.508985,16.909844,16.841953,16.873203,16.871406,16.632188,16.902656,
412.1816,16.409,17.011001,16.409,17.027583,16.995416,16.905333,17.117666,16.079001,16.784917,
412.4631,16.218998,16.812748,16.499876,16.906415,17.093626,16.937459,17.281043,15.719205,16.750041,
412.7447,16.684184,17.055867,16.907908,16.41537,16.842092,16.375829,16.65625,16.689158,17.032908,
413.0262,16.581141,16.807416,16.970445,16.768641,16.78125,16.407945,16.661334,16.753389,17.088666,
413.3078,16.901139,16.723861,16.992334,17.080973,16.778695,16.411946,16.747445,16.815055,16.992334,
413.5894,16.847161,16.791484,16.892604,16.899975,16.787525,16.186405,16.705104,16.830104,16.899427,
413.8709,16.836637,16.879263,16.768462,16.568174,17.080962,16.725863,16.598013,16.748588,16.848013,
414.1525,16.619295,16.860269,16.6875,16.487994,16.994891,16.973859,16.584128,17.003917,16.900545,
414.4341,16.791654,16.577395,16.6875,16.959806,16.950898,16.940494,16.363099,17.391355,17.037201,
414.7156,16.894088,16.537899,16.76895,17.289312,16.8207,16.755375,16.427887,17.525875,17.0625,
414.9972,16.647859,17.11738,17.039641,17.610533,16.693576,16.977141,16.798033,17.258391,17.05488,
415.2787,16.735644,17.009281,16.951856,17.375834,16.973825,16.914697,16.630909,17.136818,17.014356,
415.5603,16.809059,16.753441,16.91552,17.013766,17.15625,16.956039,16.525422,16.935113,16.987289,
415.8419,16.864913,16.72785,16.907238,16.669301,17.095726,17.010087,16.427413,16.7409,17.041337,
416.1234,16.865551,16.768898,16.789247,16.510901,16.936048,17.009449,16.384449,16.667151,17.0625,
416.4050,16.917959,16.675791,16.582119,16.64834,17.015508,16.96875,16.261787,16.746045,17.027373,
416.6865,16.9375,16.706301,16.393737,16.931339,17.38764,17.006288,16.062436,16.881288,16.918699,
416.9681,16.791071,16.634821,16.694481,17.009253,17.607062,17.115747,16.181738,16.977435,16.92362,
417.2497,16.748917,16.493924,17.068576,16.895182,17.540364,17.173394,16.511068,16.932508,16.974826,
417.5312,17.04177,16.77104,17.044687,16.754376,17.303439,17.007293,16.622083,16.797604,16.921146,
417.8128,17.046485,17.078403,17.140792,16.624889,16.983763,16.812389,16.765903,16.796931,16.953181,
418.0944,16.789351,17.205633,17.253344,16.577289,16.680812,16.748328,17.057743,16.944188,17.083977,
418.3759,16.639013,17.19829,17.346973,16.579737,16.596973,16.804933,17.25,17.131446,17.204737,
418.6575,16.751053,17.174258,17.194924,16.755818,16.643008,17.019061,17.268008,17.133477,17.308788,
418.9390,17.069038,17.225048,17.024952,16.893774,16.712572,17.162548,17.112284,16.924784,17.393774,
419.2206,17.238286,17.289071,16.921857,16.749965,16.847678,16.933536,17.078143,17.359499,17.445321,
419.5022,17.189122,17.292207,17.037342,16.920056,16.946836,16.862421,17.003243,17.545451,17.46875,
419.7837,17.093114,17.28125,17.209181,17.083545,16.863524,16.737888,16.895409,17.342478,17.258297,
420.0653,17.040707,17.172284,17.271793,16.854026,16.747121,16.699836,17.092931,17.303043,17.069078,
420.3468,17.143932,16.786954,16.988277,16.862682,16.583532,16.696214,17.4354,17.447718,16.850959,
420.6284,17.303875,16.6097,16.7819,17.139001,16.740725,16.82715,17.5778,17.54655,16.68815,
420.9100,17.175686,16.641768,16.677973,17.290777,16.836509,16.923018,16.993521,17.466463,16.440168,
421.1915,17.075523,16.953114,16.804682,17.213545,16.893227,17.085932,16.342466,17.363284,16.399739,
421.4731,16.629619,16.878468,16.48726,17.238427,16.931714,17.048609,16.778949,16.98726,16.76274,
421.7546,16.557434,16.791382,16.458618,16.98816,16.963684,17.03125,16.880066,16.801514,16.948486,
422.0362,16.696999,16.619851,16.630149,16.9106,17.157049,17.03125,16.740501,16.646751,16.94185,
422.3178,16.773972,16.648972,16.65625,17.237583,17.270333,17.058861,16.663528,16.486944,16.854667,
422.5993,16.809568,16.826157,16.882793,17.224614,17.309568,17.232407,16.542979,16.553704,16.702161,
422.8809,16.84152,16.78571,16.99331,16.609328,17.19642,17.1049,16.56027,16.59152,16.6875,
423.1625,17.022057,16.543508,16.970282,16.413911,17.13895,16.647983,16.681371,17.009799,16.95496,
423.4440,17.092072,16.470428,17.364093,16.649538,17.000412,16.503356,16.717911,16.909606,17.394504,
423.7256,16.471756,16.841946,16.535309,16.780649,16.904145,16.562199,16.563252,17.030649,16.44216,
424.0071,16.819439,17.128203,16.724622,16.946575,16.750534,16.280182,16.694439,17.091615,16.659987,
424.2887,17.223604,17.301579,17.077061,17.46511,16.775183,16.226031,17.087683,16.96875,16.877427,
424.5703,17.326753,17.012364,17.441277,17.34856,16.626889,16.402473,16.928057,16.964973,16.939389,
424.8518,17.059941,16.700835,17.497441,16.932382,16.658809,16.348868,16.788928,16.908809,16.958513,
425.1334,16.998996,16.519353,17.442946,16.823393,16.726205,16.399799,16.913705,16.921373,16.876004,
425.4149,16.738186,16.71471,17.175991,16.398323,17.070274,16.320427,17.292759,16.78125,17.164024,
425.6965,16.811377,16.878983,16.815921,16.617034,17.056832,16.251685,17.525582,16.735805,17.123315,
425.9781,16.401118,16.729145,16.531118,16.901118,16.671842,16.838487,17.104211,16.421974,16.557303,
426.2596,16.212904,16.822171,16.925591,16.742133,16.785075,16.945367,16.994154,16.25765,16.560479,
426.5412,16.213459,17.058409,17.27476,16.84375,16.976439,16.85673,16.98173,16.646868,16.70697,
426.8228,16.291112,17.309768,17.242871,16.850879,17.110741,16.863473,17.03125,17.032915,16.759862,
427.1043,16.265338,17.375191,17.110045,16.890529,17.039206,16.679927,17.03125,17.164589,16.772911,
427.3859,16.364273,17.247668,16.789645,16.878732,16.943564,16.638059,17.022855,16.956623,17.073227,
427.6674,16.204891,17.138206,16.866631,16.682663,16.802825,16.870816,17.036087,17.183969,17.250653,
