,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
405.1425,34.666316,34.587698,34.419158,35.205842,33.876606,34.728631,34.373579,34.373579,35.104434,34.583869,
405.4241,33.608294,34.123836,34.601105,34.701877,33.256856,34.741481,33.537607,33.537607,34.709232,34.39823,
405.7056,33,33.46875,34.202184,33.964608,32.692206,34.255271,32.701054,32.701054,33.62613,34.307794,
405.9872,33.078693,33.370384,33.63718,33.530717,32.664347,33.529581,32.616903,32.616903,33.155114,34.207777,
406.2688,33.174257,33.134609,33.155039,32.824532,32.587694,32.491602,32.53125,32.53125,32.661015,33.746367,
406.5503,32.759871,32.904964,32.798772,32.634871,31.891879,32.322371,32.389661,32.389661,31.962031,33.243924,
406.8319,32.235863,32.466022,32.286954,32.09809,31.135045,31.760045,32.041295,32.041295,31.230159,32.552703,
407.1135,31.753979,31.910229,31.810271,31.693919,30.721402,31.05783,31.586428,31.586428,31.087542,31.68039,
407.3950,31.148903,31.305153,31.117653,31.196697,30.347429,30.257358,31.042287,31.042287,31,30.845589,
407.6766,30.357776,30.60801,30.248206,30.843282,30.061954,29.717736,30.37383,30.37383,30.624064,30.49922,
407.9581,29.652279,29.846469,29.38169,30.523308,29.727426,29.279264,29.789926,29.789926,30.017351,30.220736,
408.2397,29.137019,29.498151,30.005362,30.125185,28.834505,29.285133,29.652367,29.652367,29.8652,30.004068,
408.5213,28.688698,28.949261,30.371625,29.739656,28.052156,29.090375,29.402875,29.402875,29.721146,29.627396,
408.8028,28.391608,28.559003,29.499126,29.177666,27.840253,28.295673,28.569274,28.569274,29.088068,29.072115,
409.0844,28.168467,28.805749,28.614068,28.824717,27.699717,27.559735,28.054334,28.054334,29.086999,28.669817,
409.3659,28.103688,28.69169,27.458572,27.843509,27.677562,27.119253,27.509817,27.509817,28.653256,27.890445,
409.6475,27.982568,27.873172,27.120196,27.206122,27.754209,27.355782,27.236777,27.236777,27.796854,27.384609,
409.9291,27.381766,26.80646,26.994161,26.569266,27.109738,26.874799,26.663016,26.663016,27.006766,26.432588,
410.2106,27.09122,26.747879,27.057849,26.736048,26.875,26.126713,26.37247,26.37247,26.86064,25.788022,
410.4922,26.73777,26.337894,26.494248,25.669724,26.475332,25.494144,25.969061,25.969061,26.625207,25.662521,
410.7738,26.526831,25.623423,26.188447,25.478535,25.883208,25.452651,25.564395,25.564395,26.303662,25.785669,
