,Live Spectrum 26-10-2023 13:44:50,Live Spectrum 26-10-2023 13:45:29,Live Spectrum 26-10-2023 13:45:59,Live Spectrum 26-10-2023 13:46:43,Live Spectrum 26-10-2023 13:47:13,Live Spectrum 26-10-2023 13:48:13,Live Spectrum 26-10-2023 13:49:37,Live Spectrum 26-10-2023 13:50:32,Live Spectrum 26-10-2023 13:51:07,Live Spectrum 26-10-2023 13:51:27,Live Spectrum 26-10-2023 13:52:16,Live Spectrum 26-10-2023 13:52:46,Live Spectrum 26-10-2023 13:52:55,Live Spectrum 26-10-2023 13:52:56,Live Spectrum 26-10-2023 13:52:57,Live Spectrum 26-10-2023 13:52:58,Live Spectrum 26-10-2023 13:52:59,Live Spectrum 26-10-2023 13:54:50,Live Spectrum 26-10-2023 13:55:15,Live Spectrum 26-10-2023 13:55:21,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
384.5885,25.103426,22.942492,16.861563,17.120316,17.214681,22.307508,15.902181,16.455621,17.223742,17.138129,16.111563,17.285626,17.344058,17.160626,17.013129,16.40625,16.745624,16.776874,16.232495,17.41155,
384.8701,26.221845,23.645607,16.769605,16.986763,17.360171,21.841657,16.284935,16.755277,17.318868,17.03125,16.167895,17.146197,17.513237,17.095342,16.728302,16.421079,16.810908,16.693868,16.567777,17.957606,
385.1517,27.238508,24.349655,16.671285,16.953715,17.327535,21.432776,16.596112,16.984965,16.944268,16.966388,16.314862,17.079896,17.432776,17.111146,16.482604,16.421285,16.941043,16.546285,16.797465,18.122638,
385.4332,27.572501,24.728751,16.480288,16.951154,17.013365,21.277308,16.480288,16.876827,16.648365,16.871058,16.533366,17.019423,17.347692,17.15625,16.384711,16.511827,16.996058,16.425673,16.67173,18.044904,
385.7148,27.920741,25.020078,16.34375,16.918529,16.705365,21.287943,16.305807,16.667422,16.954204,16.938606,16.580365,16.804701,17.640598,17.118307,16.362721,16.707578,16.892865,16.419635,16.619414,18.126106,
385.9963,28.905896,25.459881,16.201366,16.90625,16.717272,21.149775,16.464316,16.715794,17.370566,16.979659,16.571931,16.678069,17.731138,16.971706,16.375,16.903294,16.803069,16.651816,16.798634,17.984094,
386.2779,29.895903,26.025223,16.125,16.884546,16.858521,21.0625,16.692726,17.041702,17.490454,16.947046,16.702271,16.547729,17.296823,16.90625,16.483521,17.012159,16.694433,16.90193,17.135452,17.440914,
386.5595,30.286436,27.248366,16.72462,16.990312,16.814001,20.601254,16.381003,16.718066,17.015692,16.983625,16.957561,16.684498,17.240312,16.767876,16.53125,17.054312,16.771562,16.991812,16.742629,17.065502,
386.8410,30.612311,28.137708,16.815427,17.055665,16.756835,20.242183,16.372073,16.611329,16.819335,17.073244,17.080079,16.38378,17.330079,16.743165,16.873055,17.208988,16.690427,16.902341,16.806646,17.463878,
387.1226,32.207419,29.002568,16.729727,17.0625,16.698477,20.110216,16.638102,16.702284,16.915545,17.171034,17.016466,16.435818,17.472557,16.878807,17.277886,17.25,16.836579,16.823477,16.797716,18.134738,
