,Live Spectrum 26-10-2023 13:38:20,Live Spectrum 26-10-2023 13:38:23,Live Spectrum 26-10-2023 13:38:23,Live Spectrum 26-10-2023 13:38:24,Live Spectrum 26-10-2023 13:38:25,Live Spectrum 26-10-2023 13:38:25,Live Spectrum 26-10-2023 13:38:26,Live Spectrum 26-10-2023 13:38:26,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:27,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:28,Live Spectrum 26-10-2023 13:38:29,Live Spectrum 26-10-2023 13:38:29,Live Spectrum 26-10-2023 13:38:32,Live Spectrum 26-10-2023 13:38:32,Live Spectrum 26-10-2023 13:38:32,Live Spectrum 26-10-2023 13:38:33,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
378.3942,16.495263,16.455716,16.406695,16.486966,17.319017,16.918394,16.724822,16.975267,16.975267,16.680983,16.680983,16.680983,16.732229,16.356784,16.356784,16.356784,16.950534,16.950534,17.15625,17.15625,17.15625,16.943572,
378.6758,16.8125,16.34375,16.612878,16.40322,17.318561,16.85786,16.743939,16.960701,16.960701,16.766098,16.766098,16.766098,16.96572,16.49697,16.49697,16.49697,17.0625,17.0625,17.17036,17.17036,17.17036,16.863921,
378.9573,16.906247,16.546869,16.874996,16.624995,17.140628,16.984372,16.921872,16.796877,16.796877,16.984374,16.984374,16.984374,16.968751,16.609373,16.609373,16.609373,16.937504,16.937504,17.109377,17.109377,17.109377,16.765626,
379.2389,17,16.715733,17.119934,16.949567,16.894183,17.110883,17.099784,16.598816,16.598816,16.962716,16.962716,16.962716,16.9375,16.7389,16.7389,16.7389,16.743966,16.743966,16.962716,16.962716,16.962716,16.77015,
379.5204,16.850909,16.612954,17.21875,17.043864,16.967614,17.031818,17.174886,16.481364,16.481364,16.831704,16.831704,16.831704,16.7325,16.818523,16.818523,16.818523,16.967046,16.967046,16.794432,16.794432,16.794432,16.924318,
379.8020,16.790267,16.663167,17.118083,16.890316,17.395752,16.868083,17.086833,16.509017,16.509017,16.640316,16.640316,16.640316,16.553483,16.863883,16.863883,16.863883,17.236784,17.236784,16.77915,16.77915,16.77915,17.0604,
380.0836,16.769251,16.394381,16.889503,16.898998,17.259756,17.09362,16.836629,17.006991,17.006991,16.670623,16.670623,16.670623,16.639373,17.047997,17.047997,17.047997,17.173127,17.173127,16.726002,16.726002,16.726002,17.050501,
380.3651,16.611341,16.619758,16.904939,16.89128,17.07878,17.17253,16.75,17.056981,17.056981,16.69564,16.69564,16.69564,16.6875,16.893901,16.893901,16.893901,17.240549,17.240549,16.803049,16.803049,16.803049,16.869481,
380.6467,16.537911,16.946714,16.962089,16.875,16.964143,16.812001,16.774589,16.704929,16.704929,16.539965,16.539965,16.539965,16.564554,16.738732,16.738732,16.738732,17.355018,17.355018,16.991285,16.991285,16.991285,16.787911,
380.9282,16.453062,17,16.916624,16.796812,16.989626,16.796938,16.885501,16.755314,16.755314,16.552126,16.552126,16.552126,16.400936,17.00544,17.00544,17.00544,17.270749,17.270749,17.057313,17.057313,17.057313,16.624873,
381.2098,16.822926,16.724696,16.686007,16.643598,16.779757,16.977683,17.016372,17.001493,17.001493,16.617561,16.617561,16.617561,16.430061,16.869787,16.869787,16.869787,17.002226,17.002226,17.09003,17.09003,17.09003,16.511159,
381.4914,16.875,16.542539,16.540281,16.682984,16.894961,16.884031,16.915281,17.089234,17.089234,16.682984,16.682984,16.682984,16.466492,16.553828,16.553828,16.553828,16.881773,16.881773,16.803828,16.803828,16.803828,16.557984,
381.7729,16.935896,16.470354,16.683491,16.748396,16.90625,16.326932,16.754009,16.850164,16.850164,16.717948,16.717948,16.717948,16.46875,16.439905,16.439905,16.439905,17.149034,17.149034,16.476768,16.476768,16.476768,16.806086,
382.0545,16.846343,16.751945,16.841157,16.743517,17.018933,15.869032,16.657547,16.447872,16.447872,16.873703,16.873703,16.873703,16.654953,16.697224,16.697224,16.697224,17.32884,17.32884,16.629538,16.629538,16.629538,16.90236,
382.3360,16.960381,16.852119,16.727119,16.458423,16.439592,17.0353,16.731304,16.929131,16.929131,16.806223,16.806223,16.806223,16.587473,17.131142,17.131142,17.131142,16.618723,16.618723,16.845842,16.845842,16.845842,16.714565,
382.6176,16.850811,16.954628,16.850811,16.778245,16.472281,16.649189,16.913311,16.791316,16.791316,16.701097,16.701097,16.701097,16.5,16.770658,16.770658,16.770658,16.510066,16.510066,16.882061,16.882061,16.882061,16.673903,
382.8992,16.90625,16.799082,16.921139,16.970221,16.490074,16.628492,16.988602,16.610111,16.610111,16.587316,16.587316,16.587316,16.524816,16.747057,16.747057,16.747057,16.373529,16.373529,16.9375,16.9375,16.9375,16.817463,
383.1807,17.002097,16.5625,17.025559,16.735822,16.44389,16.81889,17.055411,16.582368,16.582368,16.622903,16.622903,16.622903,16.675419,17.120008,17.120008,17.120008,16.627097,16.627097,16.899161,16.899161,16.899161,16.85653,
383.4623,17.375,16.570311,17.054704,16.406257,16.499993,16.765643,16.867196,16.765629,16.765629,16.242189,16.242189,16.242189,16.75,17.226589,17.226589,17.226589,16.992189,16.992189,16.734379,16.734379,16.734379,16.875007,
383.7439,17.356548,16.630653,16.84375,16.395533,16.713686,16.558928,16.768452,16.626491,16.626491,16.163395,16.163395,16.163395,16.694645,16.755064,16.755064,16.755064,16.950298,16.950298,16.57679,16.57679,16.57679,16.642862,
384.0254,17.269959,16.793197,16.769303,16.732008,17.138258,16.731353,16.801865,16.40625,16.40625,16.009979,16.009979,16.009979,16.519959,16.490021,16.490021,16.490021,16.895615,16.895615,16.238053,16.238053,16.238053,16.333771,
384.3070,17.103228,16.889344,16.576844,16.915728,17.249744,16.780994,16.925717,16.273822,16.273822,16.016906,16.016906,16.016906,16.594006,16.362705,16.362705,16.362705,16.971311,16.971311,16.226178,16.226178,16.226178,16.48335,
384.5885,17.00906,16.77219,16.607495,16.74094,16.95969,16.584997,17.035319,16.196868,16.196868,16.080313,16.080313,16.080313,16.642198,16.080313,16.080313,16.080313,17.017505,17.017505,16.504684,16.504684,16.504684,16.683124,
384.8701,17.136645,16.644605,16.675855,16.717158,16.846934,16.611763,16.756368,16.360171,16.360171,16.166303,16.166303,16.166303,16.375,16.077329,16.077329,16.077329,16.711881,16.711881,16.712382,16.712382,16.712382,16.689092,
385.1517,17.234965,16.627362,16.512673,16.701354,16.748819,16.611146,16.592569,16.084303,16.084303,16.313681,16.313681,16.313681,16.585801,16.174827,16.174827,16.174827,16.482604,16.482604,16.632949,16.632949,16.632949,16.607604,
385.4332,16.827691,16.82827,16.472692,16.673846,16.665961,16.65625,16.720866,15.914135,15.914135,16.554904,16.554904,16.554904,16.904423,16.425962,16.425962,16.425962,16.490289,16.490289,16.648654,16.648654,16.648654,16.580096,
385.7148,16.367201,16.880586,16.575885,16.630586,16.625,16.694193,16.957578,16.215376,16.215376,16.737721,16.737721,16.737721,16.810287,16.524557,16.524557,16.524557,16.569193,16.569193,17.153983,17.153983,17.153983,16.536836,
385.9963,16.118525,16.742047,16.787725,16.288641,16.482616,16.576366,16.868525,16.456362,16.456362,16.790681,16.790681,16.790681,16.646819,16.438978,16.438978,16.438978,16.695453,16.695453,17.293638,17.293638,17.293638,16.479659,
386.2779,16.009546,16.578979,16.961817,16.038183,16.319433,16.521704,16.716137,16.391479,16.391479,16.855909,16.855909,16.855909,16.798634,16.362841,16.362841,16.362841,16.945339,16.945339,16.989548,16.989548,16.989548,16.490454,
386.5595,16.945554,16.946371,16.930813,16.415121,16.88087,16.854122,16.941185,16.620498,16.620498,16.344567,16.344567,16.344567,15.744947,16.159252,16.159252,16.159252,16.546942,16.546942,16.851938,16.851938,16.851938,16.523062,
