,Live Spectrum 26-10-2023 13:40:57,Live Spectrum 26-10-2023 13:40:58,Live Spectrum 26-10-2023 13:40:59,Live Spectrum 26-10-2023 13:41:01,Live Spectrum 26-10-2023 13:41:02,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:04,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:06,Live Spectrum 26-10-2023 13:41:07,Live Spectrum 26-10-2023 13:41:08,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:11,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
380.9282,17.208376,17.302252,17.005187,17.020876,17.620066,17.234312,18.083249,17.322495,17.896002,17.390688,18.036564,17.271129,16.557439,16.906123,17.979251,17.979251,17.979251,17.594256,17.594256,17.693067,17.693067,17.693067,17.166878,17.166878,
381.2098,16.860854,17.536463,16.944939,17.279024,17.907743,17.328872,18.117561,16.833324,17.497013,17.543902,17.814726,17.508933,16.758933,16.709817,17.779757,17.779757,17.779757,18.076646,18.076646,17.313233,17.313233,17.313233,17.631706,17.631706,
381.4914,16.870484,17.417539,16.908508,17.428469,17.502616,17.517703,18.269961,17.013188,17.205562,17.533508,17.607297,17.299312,16.926211,16.977422,17.836977,17.836977,17.836977,17.574147,17.574147,16.960078,16.960078,16.960078,17.832461,17.832461,
381.7729,16.905448,17.193112,16.662664,17.315707,17.255612,17.622595,18.098561,17.213939,17.126604,17.713939,17.502405,16.854975,17.394223,17.121793,17.813302,17.813302,17.813302,17.074527,17.074527,16.663466,16.663466,16.663466,17.447923,17.447923,
382.0545,17.096991,16.970047,16.662733,17.092453,17.150416,17.741573,17.738331,17.136669,17.39134,17.773471,17.352826,16.950465,17.644581,17.223936,17.959674,17.959674,17.959674,16.725881,16.725881,16.725233,16.725233,16.725233,17.10866,17.10866,
382.3360,17.25,17.03125,17.006412,17.041712,16.900108,17.329104,17.202146,17.681223,16.689592,17.37905,17.78125,17.558315,17.074919,17.445734,17.520788,17.520788,17.520788,17.049946,17.049946,17.045896,17.045896,17.045896,17.816685,17.816685,
382.6176,17.253531,17.052434,17.510066,17.222806,17.302959,17.096755,17.427434,17.544321,16.750526,16.957633,17.805964,17.489408,16.770133,17.149714,17.378531,17.378531,17.378531,16.867939,16.867939,17.246469,17.246469,17.246469,17.878531,17.878531,
382.8992,17.365623,17.228676,17.239525,17.519852,17.664156,16.879963,17.554045,17.07684,17.054594,16.669668,18.019852,17.416176,16.462316,17.398344,17.436029,17.436029,17.436029,16.822426,16.822426,17.203861,17.203861,17.203861,17.861582,17.861582,
383.1807,17.863618,17.325979,16.706669,17.682508,17.349441,16.950979,17.369309,16.726538,17.382089,17.027656,18.105831,17.564597,16.727936,17.70028,17.715156,17.715156,17.715156,16.906949,16.906949,17.11861,17.11861,17.11861,17.554712,17.554712,
383.4623,17.984393,17.554675,16.992139,17.890629,17.312486,17.179675,17.453129,17.164025,17.515629,17.546864,17.992196,18.093714,17.382782,17.687514,18.289039,18.289039,18.289039,17.054682,17.054682,17.109371,17.109371,17.109371,17.289061,17.289061,
