,Live Spectrum 26-10-2023 13:31:25,Live Spectrum 26-10-2023 13:31:27,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
385.4332,16.888654,17.386827,17.386827,16.798846,17.081923,17.081923,16.865289,16.865289,16.800673,16.800673,16.800673,17.011827,17.011827,17.011827,16.857404,16.974808,16.974808,16.974808,16.878942,16.878942,16.878942,
385.7148,16.875,17.392865,17.392865,16.850443,16.943086,16.943086,16.90625,16.90625,16.851549,16.851549,16.851549,17.188606,17.188606,17.188606,16.748894,17.238828,17.238828,17.238828,17.020078,17.020078,17.020078,
385.9963,16.813978,17.221706,17.221706,16.936022,16.967272,16.967272,16.743525,16.743525,17.018862,17.018862,17.018862,17.351703,17.351703,17.351703,16.890906,17.190456,17.190456,17.190456,17.134431,17.134431,17.134431,
386.2779,16.694433,17.091137,17.091137,17.033863,17,17,16.569433,16.569433,16.867161,16.867161,16.867161,17.40625,17.40625,17.40625,17.195339,17.125,17.125,17.125,17.264771,17.264771,17.264771,
386.5595,16.310315,16.808815,16.808815,17.0625,16.769377,16.769377,16.508188,16.508188,16.619814,16.619814,16.619814,16.552945,16.552945,16.552945,16.635506,16.894377,16.894377,16.894377,17.151064,17.151064,17.151064,
386.8410,16.358403,16.71875,16.71875,16.940427,16.516597,16.516597,16.402341,16.402341,16.708988,16.708988,16.708988,16.445317,16.445317,16.445317,16.528323,16.836915,16.836915,16.836915,16.849604,16.849604,16.849604,
387.1226,16.612341,16.71875,16.71875,16.674398,16.597557,16.597557,16.658375,16.658375,17.007613,17.007613,17.007613,16.603045,16.603045,16.603045,16.923159,16.740705,16.740705,16.740705,16.600921,16.600921,16.600921,
387.4042,16.845967,16.800057,16.800057,16.706307,17.112843,17.112843,16.854262,16.854262,17.116705,17.116705,17.116705,16.652102,16.652102,16.652102,17.10841,16.176702,16.176702,16.176702,16.589602,16.589602,16.589602,
387.6857,16.931876,16.897813,16.897813,16.804063,17.386565,17.386565,16.960313,16.960313,16.954373,16.954373,16.954373,16.542499,16.542499,16.542499,17.238751,16.548755,16.548755,16.548755,16.650626,16.650626,16.650626,
387.9673,16.907732,16.90625,16.90625,16.8125,16.989503,16.989503,16.938982,16.938982,16.81843,16.81843,16.81843,16.441947,16.441947,16.441947,17.25,17.010497,17.010497,17.010497,16.805088,16.805088,16.805088,
